Country,Tax Rate per Year,Year Period,Tax Generated (USD),Sector,Tax Utilization (USD)
India,0.3,2016 - 2020,505366727.49899995,Infrastructure,505366727.5
India,0.3,2016 - 2020,505366727.49899995,Healthcare,673822303.33
India,0.3,2016 - 2020,505366727.49899995,Education,168455575.83
India,0.3,2016 - 2020,505366727.49899995,Other,336911151.67
India,0.22,2021 - 2022,370602266.8326,Infrastructure,505366727.5
India,0.22,2021 - 2022,370602266.8326,Healthcare,673822303.33
India,0.22,2021 - 2022,370602266.8326,Education,168455575.83
India,0.22,2021 - 2022,370602266.8326,Other,336911151.67
Japan,0.2,2001 - 2005,460493777.44,Infrastructure,1381481332.32
Japan,0.2,2001 - 2005,460493777.44,Healthcare,230246888.72
Japan,0.2,2001 - 2005,460493777.44,Education,230246888.72
Japan,0.2,2001 - 2005,460493777.44,Other,460493777.44
Japan,0.25,2006 - 2010,575617221.8,Infrastructure,1381481332.32
Japan,0.25,2006 - 2010,575617221.8,Healthcare,230246888.72
Japan,0.25,2006 - 2010,575617221.8,Education,230246888.72
Japan,0.25,2006 - 2010,575617221.8,Other,460493777.44
Japan,0.15,2011 - 2015,345370333.08,Infrastructure,1381481332.32
Japan,0.15,2011 - 2015,345370333.08,Healthcare,230246888.72
Japan,0.15,2011 - 2015,345370333.08,Education,230246888.72
Japan,0.15,2011 - 2015,345370333.08,Other,460493777.44
Japan,0.3,2016 - 2020,690740666.16,Infrastructure,1381481332.32
Japan,0.3,2016 - 2020,690740666.16,Healthcare,230246888.72
Japan,0.3,2016 - 2020,690740666.16,Education,230246888.72
Japan,0.3,2016 - 2020,690740666.16,Other,460493777.44
Japan,0.22,2021 - 2022,506543155.184,Infrastructure,1381481332.32
Japan,0.22,2021 - 2022,506543155.184,Healthcare,230246888.72
Japan,0.22,2021 - 2022,506543155.184,Education,230246888.72
Japan,0.22,2021 - 2022,506543155.184,Other,460493777.44
South Korea,0.2,2001 - 2005,489077688.8360001,Infrastructure,978155377.67
South Korea,0.2,2001 - 2005,489077688.8360001,Healthcare,733616533.25
South Korea,0.2,2001 - 2005,489077688.8360001,Education,489077688.84
South Korea,0.2,2001 - 2005,489077688.8360001,Other,244538844.42
South Korea,0.25,2006 - 2010,611347111.045,Infrastructure,978155377.67
South Korea,0.25,2006 - 2010,611347111.045,Healthcare,733616533.25
South Korea,0.25,2006 - 2010,611347111.045,Education,489077688.84
South Korea,0.25,2006 - 2010,611347111.045,Other,244538844.42
South Korea,0.15,2011 - 2015,366808266.62700003,Infrastructure,978155377.67
South Korea,0.15,2011 - 2015,366808266.62700003,Healthcare,733616533.25
South Korea,0.15,2011 - 2015,366808266.62700003,Education,489077688.84
South Korea,0.15,2011 - 2015,366808266.62700003,Other,244538844.42
South Korea,0.3,2016 - 2020,733616533.2540001,Infrastructure,978155377.67
South Korea,0.3,2016 - 2020,733616533.2540001,Healthcare,733616533.25
South Korea,0.3,2016 - 2020,733616533.2540001,Education,489077688.84
South Korea,0.3,2016 - 2020,733616533.2540001,Other,244538844.42
South Korea,0.22,2021 - 2022,537985457.7196,Infrastructure,978155377.67
South Korea,0.22,2021 - 2022,537985457.7196,Healthcare,733616533.25
South Korea,0.22,2021 - 2022,537985457.7196,Education,489077688.84
South Korea,0.22,2021 - 2022,537985457.7196,Other,244538844.42
